Nairobi Temperature [2 m elevation corrected],Nairobi Relative Humidity [2 m],Nairobi Wind Speed [10 m],Nairobi Wind Direction [10 m],Nairobi Sunshine Duration,Nairobi Shortwave Radiation,Nairobi Direct Shortwave Radiation,Nairobi Diffuse Shortwave Radiation,Sunscreen
20.693151,52,15.778516,55.222168,0,0,0,0,0
19.83315,55,14.05845,50.194427,0,0,0,0,0
19.14315,58,11.457958,46.27301,0,0,0,0,0
18.66315,61,9.931042,43.53119,0,0,0,0,0
18.24315,64,8.435069,39.805573,0,0,0,0,0
17.853151,67,7.7043357,37.40535,0,0,0,0,0
17.56315,69,7.10031,30.465546,0,0,0,0,0
17.173151,70,6.8399997,360,0,0,0,0,0
16.88315,69,5.4119864,3.8140564,0,0,0,0,0
16.613152,67,5.3999996,36.86989,0,0,0,0,0
16.103151,69,7.386582,46.97493,20.716667,4.45,1.8420343,2.6079655,1
17.173151,68,12.096214,53.47113,60,167.31999,92.05545,75.26454,1
18.613152,63,16.870138,50.194427,60,413.85,246.1224,167.7276,1
20.31315,59,18.079027,54.727577,60,637.24,403.87146,233.36853,1
21.773151,58,19.969458,56.023453,51.70213,815.24,541.90405,273.33594,1
22.953152,55,21.794127,59.198547,0,930.94,645.70874,285.23126,1
23.72315,54,21.566973,56.57518,0,922.93,677.4709,245.4591,1
24.30315,52,21.252197,51.1886,53.61702,860.63,647.3346,213.2954,1
25.113152,49,22.473343,54.782394,53.61702,868.64,595.56085,273.07916,1
25.24315,46,21.385939,53.90171,51.06383,679.07,459.76187,219.30814,1
24.25315,48,22.59699,59.34932,21.063831,337.31,231.3432,105.966805,1
23.08315,52,19.319628,63.43495,20.425533,154.86,99.534805,55.3252,1
21.843151,57,16.09969,63.43495,30.326595,48.059998,25.548569,22.511429,1
21.433151,59,14.48972,63.43495,0,0,0,0,0
20.613152,63,14.88242,57.847702,0,0,0,0,0
20.113152,65,14.081477,57.5288,0,0,0,0,0
19.763151,67,13.104198,52.815292,0,0,0,0,0
19.38315,68,10.948973,46.3322,0,0,0,0,0
19.00315,71,9.178235,41.82016,0,0,0,0,0
18.73315,72,8.78872,34.99202,0,0,0,0,0
18.513151,73,8.707237,29.744873,0,0,0,0,0
17.80315,75,7.69592,10.7842865,0,0,0,0,0
17.40315,76,5.4119864,356.18594,0,0,0,0,0
17.06315,76,3.5455887,336.0375,0,0,0,0,0
16.90315,77,2.9024127,330.25513,18.883867,5.34,3.0040672,2.335933,1
18.66315,67,5.1165614,39.2894,0,175.33,96.49171,78.838295,1
20.923151,56,13.324863,51.58194,0,404.94998,240.90427,164.04572,1
22.63315,50,16.135872,51.34018,60,629.23,398.9129,230.31708,1
24.203152,47,16.87398,56.30993,60,816.13,542.6389,273.49106,1
25.693151,43,18.892282,59.036232,60,936.27997,647.21704,289.0629,1
26.82315,40,20.68356,58.523155,60,989.68,694.7284,294.9516,1
27.40315,39,21.868332,57.094757,60,971.88,677.6392,294.24078,1
25.99315,41,21.566973,56.57518,14.042552,592.74,363.153,229.58699,1
25.193151,44,22.86496,56.560135,11.489361,242.08,13.796234,228.28377,1
24.513151,47,23.219301,60.25511,13.404254,249.2,94.29318,154.90681,1
23.433151,50,22.238562,60.945396,0,114.81,41.5502,73.259796,1
22.48315,54,18.971008,56.61148,0,32.93,30.745085,2.1849148,1
21.75315,57,13.979872,55.491463,0,0,0,0,0
20.66315,62,11.019764,51.632507,0,0,0,0,0
19.99315,64,8.913181,46.636566,0,0,0,0,0
19.613152,65,7.386582,43.025055,0,0,0,0,0
19.283152,66,6.297428,30.963745,0,0,0,0,0
19.033152,67,4.802999,12.994629,0,0,0,0,0
18.90315,67,5.04,360,0,0,0,0,0
18.82315,67,5.0528407,355.91437,0,0,0,0,0
18.57315,66,4.73506,351.25385,0,0,0,0,0
18.273151,65,4.32,360,0,0,0,0,0
17.673151,67,1.8,360,0,0,0,0,0
17.08315,71,0.71999997,360,20.932198,6.23,4.4016547,1.8283454,1
18.41315,66,4.6102495,51.34018,60,182.45,100.44043,82.00957,1
20.533152,57,11.183201,56.82148,60,420.97,250.51088,170.45912,1
22.41315,50,17.673029,56.63362,60,639.02,405.23648,233.78354,1
23.64315,48,19.022177,60.524117,60,818.8,544.5536,274.24643,1
24.843151,45,21.261345,61.699234,60,939.83997,648.3054,291.53458,1
26.08315,41,23.023117,63.034294,60,993.24,695.69727,297.5427,1
26.83315,38,24.798225,62.31893,60,975.44,678.3937,297.04636,1
26.99315,36,25.284714,61.975502,53.61702,876.64996,596.8258,279.82413,1
26.283152,38,24.312662,62.676117,39.57447,630.12,446.87976,183.24023,1
25.613152,40,25.9225,62.723236,24.893618,221.61,62.71701,158.89299,1
24.693151,43,23.847115,61.11342,51.70213,137.06,71.92115,65.13885,1
23.453152,47,18.971008,56.61148,47.58227,57.85,30.742546,27.107452,1
22.513151,50,15.124284,51.766174,0,0,0,0,0
21.683151,53,12.738099,47.29059,0,0,0,0,0
21.23315,54,10.691453,44.999985,0,0,0,0,0
20.513151,56,9.931042,43.53119,0,0,0,0,0
